year,Allgemeine deutsche Sprach- und Literaturwissenschaft,Deutsche Sprachwissenschaft (in Auswahl),Literaturwissenschaft,Allgemeine Literaturgeschichte,Deutsche Literaturgeschichte,Mittelalter,Frühes Mittelalter (Von den Anfängen bis 1170),Hochmittelalter,Spätmittelalter und Übergangszeit (14. und 15. Jahrhundert),16. Jahrhundert,17. Jahrhundert,18. Jahrhundert,Goethezeit,Romantik,19. Jahrhundert,Jahrhundertwende (1880-1914),20. Jahrhundert (1914-1945),20. Jahrhundert (1945-1989),1990 bis zur Gegenwart
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,548,160,428,88,562,78,44,227,108,160,199,303,605,260,684,775,1275,2020,15
1986,458,148,360,95,466,66,54,229,155,158,151,317,631,260,621,834,1295,1739,29
1987,484,193,317,64,448,52,75,198,124,129,162,368,773,342,791,952,1295,2201,56
1988,467,174,321,70,461,89,42,247,167,186,217,412,655,346,791,805,1180,2061,49
1989,512,190,359,73,484,118,58,402,165,159,136,373,650,294,717,911,1308,2158,43
1990,473,239,539,87,587,75,38,218,133,138,178,392,722,320,746,752,1247,2274,47
1991,561,285,643,112,555,129,44,240,180,191,226,372,618,239,696,870,1046,2097,106
1992,579,217,509,115,605,110,44,222,152,155,157,453,583,305,677,749,1071,1938,115
1993,612,311,616,97,728,121,35,276,170,232,223,437,650,287,647,892,1158,1961,144
1994,640,308,632,118,688,138,49,335,279,245,240,532,717,313,646,855,1217,1908,148
1995,629,266,733,149,805,104,38,306,191,235,282,474,589,288,771,960,1363,2306,196
1996,754,222,703,126,691,116,24,292,191,167,193,568,724,364,761,1018,1236,2099,210
1997,724,210,655,93,643,100,40,251,209,206,200,542,713,355,895,978,1095,2216,225
1998,553,226,580,89,654,99,27,343,179,150,159,483,802,282,989,821,1304,2090,211
1999,626,171,669,110,736,101,43,356,205,160,142,480,1260,344,884,1053,1196,2000,256
2000,745,194,601,131,706,127,63,354,188,191,242,453,1144,376,1026,1122,1332,2381,399
2001,733,152,647,150,762,102,44,297,149,186,216,473,935,355,867,1089,1182,1997,417
2002,668,171,655,125,847,129,59,385,209,175,191,457,850,322,928,1176,1225,2111,567
2003,678,160,706,115,839,157,83,443,191,173,249,510,864,369,835,1021,1387,1988,693
2004,724,165,615,210,1112,197,77,472,232,248,297,518,1103,465,904,1293,1382,2443,653
2005,809,116,702,213,1107,230,98,439,243,242,251,658,1319,384,972,1199,1453,2205,652
2006,816,114,685,215,966,198,59,456,197,207,317,576,1080,377,1007,1141,1434,2338,785
2007,871,98,879,268,1151,175,56,437,283,232,253,589,1142,384,1120,1257,1494,2425,933
2008,952,107,950,335,1239,177,65,443,276,254,335,603,1091,390,1041,1161,1656,2602,1053
2009,1020,87,962,298,1272,185,69,446,269,239,259,542,1018,453,911,1260,1517,2787,1080
2010,1005,91,986,374,1224,145,63,440,262,235,244,670,1152,338,884,1122,1580,2528,1127
2011,1124,114,912,351,1227,194,63,460,288,231,295,578,1126,364,916,1119,1630,2537,1158
2012,987,128,855,426,1227,179,46,405,242,210,328,627,1033,367,915,1309,1417,2385,1407
2013,1162,136,978,470,1218,135,51,372,271,234,282,595,1226,335,931,1138,1660,2384,1339
2014,962,164,885,587,985,118,43,341,207,250,170,550,928,352,965,1249,1572,2263,1360
2015,1017,213,813,518,1112,138,67,432,278,248,227,502,928,360,914,1105,1508,2101,1491
2016,1007,224,755,499,910,116,72,308,193,279,249,665,832,346,866,1180,1443,2075,1362
2017,1072,270,698,476,863,124,64,357,253,309,270,542,810,312,750,1102,1370,2203,1447
2018,1103,290,695,454,828,89,41,280,199,239,202,495,739,280,675,958,1285,1805,1406
2019,572,205,390,285,471,70,37,191,134,175,169,253,529,150,509,571,852,1089,884
2020,178,25,77,35,102,16,5,58,19,15,27,87,135,43,77,148,194,230,142