date,male_00,female_00,male_co,female_co,male_01,female_01,male_02,female_02,male_03,female_03,male_04,female_04,male_05,female_05,male_06,female_06,male_07,female_07,male_08,female_08,male_09,female_09,male_10,female_10,male_11,female_11,male_12,female_12,male_13,female_13,male_14,female_14,male_15,female_15,male_16,female_16,male_17,female_17,male_18,female_18,male_19,female_19
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,5964,-1412,960,-182,401,-56,107,-23,318,-42,59,-9,337,-103,49,-12,27,-6,154,-46,70,-24,115,-18,152,-27,216,-51,422,-105,167,-55,494,-121,567,-114,921,-193,1378,-405,10,-2,0
1986,5559,-1437,980,-208,324,-62,110,-20,246,-49,69,-5,279,-84,45,-10,31,-14,131,-70,97,-29,112,-26,107,-17,216,-56,460,-96,157,-59,420,-123,623,-122,942,-202,1170,-385,20,-8,0
1987,6311,-1542,1017,-185,347,-53,140,-26,224,-39,40,-8,298,-57,36,-6,52,-18,129,-44,83,-19,101,-14,118,-23,272,-37,585,-113,228,-68,587,-119,688,-153,908,-237,1441,-493,34,-15,0
1988,6012,-1576,1043,-230,321,-66,115,-40,233,-40,49,-6,278,-74,67,-6,34,-6,157,-60,114,-37,123,-31,157,-36,288,-72,470,-113,236,-69,562,-138,593,-117,814,-214,1369,-442,32,-9,0
1989,6224,-1603,1051,-235,364,-65,122,-29,237,-54,42,-11,289,-74,78,-14,41,-8,290,-79,104,-40,112,-26,99,-17,252,-69,467,-89,183,-64,512,-126,677,-121,919,-230,1409,-475,27,-12,0
1990,6037,-1744,1036,-255,326,-57,164,-44,357,-77,55,-9,324,-107,40,-15,25,-10,129,-55,75,-35,84,-31,140,-28,253,-81,519,-121,188,-85,521,-124,530,-136,848,-225,1432,-493,27,-11,0
1991,5924,-1811,1136,-273,379,-80,180,-58,436,-85,76,-7,287,-116,74,-21,31,-6,148,-60,114,-45,123,-42,166,-34,238,-63,429,-104,140,-73,486,-134,600,-139,676,-220,1272,-501,69,-23,0
1992,5640,-1754,1022,-240,405,-88,129,-47,337,-71,58,-18,326,-143,66,-14,30,-5,143,-53,100,-38,101,-32,113,-34,304,-81,382,-112,182,-89,446,-129,501,-135,735,-178,1204,-466,78,-21,0
1993,6134,-1977,1131,-286,402,-101,207,-48,394,-114,57,-15,412,-150,64,-17,17,-8,167,-76,97,-43,170,-29,160,-36,294,-79,456,-110,176,-74,435,-125,603,-173,745,-248,1184,-497,94,-34,0
1994,6269,-2164,1280,-318,417,-109,189,-57,421,-95,63,-22,361,-152,65,-37,29,-9,194,-75,161,-74,147,-50,162,-56,354,-112,476,-169,177,-80,437,-121,578,-163,807,-242,1137,-504,94,-37,0
1995,6682,-2326,1242,-337,410,-115,193,-36,452,-138,78,-25,440,-161,57,-20,22,-11,180,-85,121,-44,167,-35,193,-56,298,-104,414,-109,159,-96,494,-173,628,-206,862,-291,1390,-579,124,-42,0
1996,6386,-2459,1135,-352,506,-131,135,-42,443,-115,84,-19,347,-170,57,-25,9,-7,156,-90,104,-55,101,-41,133,-40,358,-141,479,-162,205,-109,495,-170,648,-236,742,-285,1252,-567,132,-54,0
1997,6387,-2347,1302,-385,482,-116,121,-39,418,-105,59,-12,308,-149,54,-14,26,-6,162,-62,138,-45,125,-44,137,-44,346,-117,455,-142,213,-99,553,-215,659,-205,688,-258,1313,-612,130,-63,0
1998,6173,-2272,1210,-417,361,-90,143,-45,345,-104,46,-11,353,-124,59,-16,15,-9,188,-114,97,-61,105,-26,111,-28,308,-93,558,-118,160,-85,609,-235,492,-197,871,-280,1225,-580,127,-56,0
1999,6453,-2616,1289,-402,399,-107,106,-31,388,-133,59,-24,375,-166,44,-28,32,-6,198,-109,104,-71,103,-28,91,-30,294,-116,803,-265,193,-112,558,-208,672,-238,726,-307,1160,-566,148,-71,0
2000,6896,-2964,1258,-417,438,-160,114,-30,346,-119,65,-21,338,-146,64,-30,38,-21,224,-99,113,-51,140,-33,153,-59,274,-110,724,-248,199,-129,641,-254,723,-245,778,-362,1327,-706,197,-141,0
2001,6484,-2548,1163,-423,452,-133,95,-24,413,-128,73,-34,375,-163,54,-25,29,-6,169,-84,88,-41,108,-35,153,-37,295,-91,607,-207,190,-125,565,-191,702,-241,750,-284,1130,-592,236,-107,0
2002,6428,-2909,1159,-454,407,-131,94,-35,384,-131,62,-30,400,-208,59,-31,41,-11,207,-135,112,-62,98,-39,127,-39,285,-102,524,-185,183,-103,558,-223,736,-258,701,-339,1154,-678,296,-169,0
2003,6661,-2932,1385,-458,405,-143,84,-41,420,-154,66,-22,381,-183,89,-29,43,-30,245,-142,104,-63,110,-28,174,-58,314,-126,511,-217,211,-105,510,-209,620,-265,850,-335,1152,-576,372,-206,0
2004,7748,-3402,1356,-443,485,-124,87,-23,345,-134,91,-38,531,-274,102,-58,45,-23,269,-154,138,-69,169,-51,202,-64,318,-132,681,-276,269,-142,563,-228,813,-326,867,-342,1405,-740,368,-204,0
2005,7726,-3592,1234,-485,525,-173,66,-26,388,-156,100,-48,513,-294,117,-57,63,-26,251,-135,146,-75,154,-55,163,-58,416,-149,827,-307,216,-127,609,-235,734,-309,872,-410,1218,-726,348,-226,0
2006,7412,-3584,1154,-475,476,-184,67,-19,366,-151,91,-50,469,-241,111,-35,34,-19,262,-138,97,-66,123,-57,205,-85,367,-141,686,-247,209,-123,614,-258,697,-300,849,-395,1268,-799,421,-276,0
2007,7782,-4086,1351,-504,523,-195,58,-17,482,-187,128,-58,519,-314,75,-55,33,-18,223,-165,166,-83,137,-56,155,-65,380,-139,678,-313,210,-129,669,-322,746,-349,846,-442,1261,-848,493,-331,0
2008,8248,-4198,1293,-587,581,-222,62,-23,489,-225,150,-86,565,-316,90,-51,40,-18,244,-163,163,-89,168,-45,223,-69,356,-158,680,-254,209,-129,639,-280,695,-312,973,-479,1408,-898,513,-381,0
2009,8189,-4228,1321,-552,602,-246,56,-13,532,-242,144,-65,621,-301,95,-57,36,-26,241,-148,155,-87,141,-68,167,-60,341,-137,602,-258,258,-142,541,-242,743,-356,868,-469,1494,-930,552,-381,0
2010,7823,-4366,1160,-603,561,-275,41,-28,548,-218,163,-98,514,-328,67,-39,37,-18,218,-166,137,-83,151,-51,157,-55,425,-159,703,-286,185,-118,517,-258,656,-329,919,-464,1265,-942,559,-451,0
2011,7948,-4369,1439,-647,657,-284,47,-27,471,-244,141,-85,517,-332,101,-49,32,-26,235,-175,161,-91,141,-64,194,-67,324,-160,688,-260,187,-127,548,-262,669,-308,907,-498,1378,-846,550,-464,0
2012,7925,-4379,1249,-640,607,-211,47,-38,445,-225,187,-102,547,-328,91,-51,23,-20,219,-152,129,-87,129,-56,214,-87,384,-155,608,-279,217,-108,533,-275,774,-388,793,-420,1268,-835,710,-562,0
2013,8122,-4586,1297,-716,702,-278,58,-33,515,-273,186,-137,534,-364,71,-41,28,-15,210,-128,143,-93,164,-45,165,-81,329,-175,726,-361,159,-134,572,-256,695,-305,936,-519,1272,-836,657,-512,0
2014,7695,-4281,1315,-660,589,-233,81,-42,469,-249,231,-144,443,-289,58,-33,20,-20,175,-140,97,-83,158,-57,103,-49,334,-147,565,-248,199,-115,574,-279,787,-331,924,-455,1248,-776,640,-591,0
2015,7512,-4398,1581,-980,593,-264,99,-55,422,-222,229,-125,470,-330,70,-36,46,-17,222,-164,134,-113,139,-76,136,-69,316,-137,577,-232,213,-121,529,-296,670,-303,828,-468,1137,-725,682,-645,0
2016,7106,-4275,1824,-1185,607,-253,88,-73,376,-225,197,-125,392,-250,62,-32,40,-21,160,-121,88,-74,184,-57,134,-79,394,-186,489,-234,190,-113,497,-265,699,-357,811,-438,1065,-776,633,-596,0
2017,7098,-4215,1820,-1311,658,-243,133,-69,349,-204,191,-128,361,-253,62,-33,41,-15,169,-160,125,-100,188,-72,169,-65,327,-147,504,-204,152,-119,444,-215,631,-337,768,-427,1122,-817,704,-607,0
2018,6486,-3876,1623,-1122,638,-287,127,-96,351,-209,188,-113,403,-219,47,-21,25,-13,142,-125,121,-59,159,-53,126,-65,286,-149,449,-207,151,-102,382,-208,565,-282,673,-448,973,-630,680,-590,0
2019,4111,-2323,1140,-728,329,-152,110,-51,194,-109,130,-65,209,-145,30,-25,24,-10,89,-88,70,-52,116,-41,110,-37,142,-86,307,-148,79,-55,309,-144,342,-152,506,-238,587,-361,428,-364,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0